2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.util.zip.ZipFile.<init>(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.util.zip.ZipFile.<init>(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.util.jar.JarFile.<init>(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/sun.net.www.protocol.jar.URLJarFile.<init>(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/sun.net.www.protocol.jar.URLJarFile.getJarFile(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/sun.net.www.protocol.jar.JarFileFactory.get(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/sun.net.www.protocol.jar.JarURLConnection.connect(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/sun.net.www.protocol.jar.JarURLConnection.getInputStream(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	... 26 more
2026/04/14 15:49:33 | INFO   | jvm 1    | java.lang.NullPointerException
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.internal.RestClientProxy.<init>(RestClientProxy.java:119)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.internal.DefaultClient.<init>(DefaultClient.java:94)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.ClientFactory.newClient(ClientFactory.java:19)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.Client$ClientConfig.newClient(Client.java:551)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.adapter3.sddchealth.util.VRopsSuiteApiUtil.createClient(VRopsSuiteApiUtil.java:176)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.vmware.adapter3.sddchealth.SDDCHealthAdapter.onCollect(SDDCHealthAdapter.java:803)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.integrien.alive.common.adapter3.AdapterBase.collectBase(AdapterBase.java:776)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.integrien.alive.common.adapter3.AdapterBase.collect(AdapterBase.java:548)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.integrien.alive.collector.CollectorWorkItem3.run(CollectorWorkItem3.java:45)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at com.integrien.alive.common.util.ThreadPool$WorkerItem.run(ThreadPool.java:275)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
2026/04/14 15:49:33 | INFO   | jvm 1    | 	at java.base/java.lang.Thread.run(Unknown Source)
2026/04/14 15:49:41 | INFO   | jvm 1    | javax.xml.bind.JAXBException: Error while searching for service [javax.xml.bind.JAXBContextFactory]
2026/04/14 15:49:41 | INFO   | jvm 1    |  - with linked exception:
2026/04/14 15:49:41 | INFO   | jvm 1    | [java.util.ServiceConfigurationError: javax.xml.bind.JAXBContextFactory: Error accessing configuration file]
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.ContextFinder$1.createException(ContextFinder.java:118)
